ID,Dataset,Ship ID,SHIPTYPE,TYPE,DETAILED TYPE,Name,CPA time,Rain,Temperature,Wind,Sea state,Rain state,Length,Width
20,A,18,50,Special Craft,Pilot Vessel,PILOT 14,150,0,27.4,5.2,3,No rain,12,4
21,A,5,50,Special Craft,Pilot Vessel,PILOT 09,150,0,24.3,4.4,2,No rain,12,4
22,A,5,50,Special Craft,Pilot Vessel,PILOT 09,150,0,25.4,4.6,3,No rain,12,4
23,A,18,50,Special Craft,Pilot Vessel,PILOT 14,150,0,25.1,6.8,3,No rain,12,4
24,A,5,50,Special Craft,Pilot Vessel,PILOT 09,150,0,26.3,8.1,4,No rain,12,4
25,A,19,50,Special Craft,Pilot Vessel,PILOT 12,150,0,24.8,3.8,2,No rain,12,4
26,A,20,59,Special Craft,Offshore Supply Ship,GH NAVIGATOR,72,0,23.1,2.6,2,No rain,77,18
27,A,21,30,Fishing,Fishing Vessel,REI DA GLORIA G,150,0,19.2,7.3,4,No rain,21,6
28,A,22,80,Tanker,Crude Oil Tanker,EAGLE SAN ANTONIO,70,0.4,18.3,3.5,2,Light,274,49
29,A,19,50,Special Craft,Pilot Vessel,PILOT 12,150,0,19.8,11.2,5,No rain,12,4
30,A,18,50,Special Craft,Pilot Vessel,PILOT 14,132,0,17.1,5.5,3,No rain,12,4
31,A,5,50,Special Craft,Pilot Vessel,PILOT 09,150,0,20.9,8.1,4,No rain,12,4
32,A,5,50,Special Craft,Pilot Vessel,PILOT 09,150,0,22.7, - ,7,No rain,12,4
33,A,16,50,Special Craft,Pilot Vessel,PILOT 08,121,0,21.3,8.9,4,No rain,12,4
34,A,18,50,Special Craft,Pilot Vessel,PILOT 14,150,0,17,4.3,2,No rain,12,4
35,A,23,70,Cargo,Bulk Carrier,MYKONOS SEAS,144,0,17,4.7,3,No rain,190,32
36,A,24,70,Cargo,Bulk Carrier,INDIGO BREEZE,94,0.4,19.1,9.2,4,Light,200,32
37,A,25,70,Cargo,Container Ship,LOG IN POLARIS,150,0,22.5,3.6,2,No rain,186,35
38,A,26,31,Tug,Tug,TS INCRIVEL,130,0,17,5.1,3,No rain,27,10
39,A,27,70,Cargo,General Cargo,BBC EMSLAND,150,0,19.4, - ,7,No rain,146,18
40,A,20,59,Special Craft,Offshore Supply Ship,GH NAVIGATOR,150,0,21.7,6.8,3,No rain,77,18
41,A,28,59,Special Craft,Offshore Supply Ship,TITUS TIDE,150,0,22.4, - ,7,No rain,82,17
42,A,29,30,Fishing,Fishing Vessel,AURITA,150,0,24.3,17.2,6,No rain,22,6
43,A,30,70,Cargo,Container Ship,GSL MELINA,150,0,21.6,13.6,6,No rain,228,32
44,A,20,59,Special Craft,Offshore Supply Ship,GH NAVIGATOR,150,0,18.5,3.5,2,No rain,77,18
45,A,26,31,Tug,Tug,TS INCRIVEL,150,0,23.9,3.9,2,No rain,27,10
46,A,31,70,Cargo,Container Ship,MERCOSUL ITAJAI,150,0,20.7,7.2,4,No rain,195,32
47,A,32,31,Tug,Tug,TS SOBERANO,150,0,21.6,7.1,4,No rain,27,11
48,A,26,31,Tug,Tug,TS INCRIVEL,150,0,20.4,5.5,3,No rain,27,10
49,A,16,50,Special Craft,Pilot Vessel,PILOT 08,100,0,22.4,8.2,4,No rain,12,4
50,A,33,50,Special Craft,Pilot Vessel,RED BOAT RJ 07,150,0.6,21.8,4.7,3,Light,11,3
51,A,16,50,Special Craft,Pilot Vessel,PILOT 08,150,0,23.9,6.5,3,No rain,12,4
52,A,34,50,Special Craft,Pilot Vessel,PILOT 01,112,0,24.8,5.4,3,No rain,11,4
53,A,5,50,Special Craft,Pilot Vessel,PILOT 09,150,0,27.4,4,2,No rain,12,4
54,A,5,50,Special Craft,Pilot Vessel,PILOT 09,150,0,27.4,4,2,No rain,12,4
55,A,2,50,Special Craft,Pilot Vessel,PILOT 10,120,0,30.4,5.3,3,No rain,11,4
56,A,2,50,Special Craft,Pilot Vessel,PILOT 10,150,0,24.1,4.7,3,No rain,11,4
57,A,35,70,Cargo,Bulk Carrier,LUCHOW,97,0,25.6,8.5,4,No rain,180,30
58,A,2,50,Special Craft,Pilot Vessel,PILOT 10,75,0,23,5.4,3,No rain,11,4
59,A,36,70,Cargo,Bulk Carrier,DAIWAN GLORY,150, - , - , - ,7,Very Heavy,177,30
60,A,37,70,Cargo,Bulk Carrier,EUROPE,150, - , - , - ,7,Very Heavy,292,45
61,A,38,70,Cargo,Container Ship,ANTHEA Y,150,0,22.7,1.8,1,No rain,300,48
62,A,39,70,Cargo,Container Ship,MSC CELINE,150,0,15.4,2.5,1,No rain,210,32
63,A,40,70,Cargo,Bulk Carrier,POCAHONTAS / MINERAL BEIJING,121,0,23.9,5.7,3,No rain,289,45
64,A,41,70,Cargo,Bulk Carrier,MINERAL DRAGON,150,0,18.6,2.3,1,No rain,292,45
65,A,42,70,Cargo,Ore Carrier,SPRING SWEETBRIER,150,0,17.2,2.6,2,No rain,320,54
66,A,43,70,Cargo,Bulk Carrier,APOLLONIUS,150,0,20.5,2.9,2,No rain,292,45
67,A,44,70,Cargo,Bulk Carrier,GREAT JIN,150,0,23.2,6,3,No rain,292,45
68,A,45,70,Cargo,Container Ship,GSL ARCADIA / E.R.BERLIN,150,0,25.6,5.7,3,No rain,277,40
69,A,46,70,Cargo,Bulk Carrier,BERGE NYANGANI / TENSHU MARU,150,0,24.9,6.5,3,No rain,292,45
70,A,47,70,Cargo,Bulk Carrier,BAO GUO,150,0,25.4,5,3,No rain,300,50
71,A,48,70,Cargo,Container Ship,SEBASTIAO CABOTO,150,0,20,2.2,1,No rain,228,37
72,A,49,70,Cargo,Bulk Carrier,BBG DREAM,150,0,21.5,3.8,2,No rain,225,32
73,A,50,80,Tanker,Crude Oil Tanker,MARCILIO DIAS,150,0,20.2,4,2,No rain,274,48
74,A,51,59,Special Craft,Offshore Supply Ship,CBO CAROLINA,150,0,22.5,3.5,2,No rain,77,17
75,A,2,50,Special Craft,Pilot Vessel,PILOT 10,150,0,20.2,2.7,2,No rain,11,4
76,A,52,80,Tanker,Oil Products Tanker,ANITA GARIBALDI,61,0,21.9,0.4,1,No rain,228,40
77,A,53,59,Special Craft,Supply Vessel,NORMAND CARIOCA,150,0,28.5,5.9,3,No rain,88,19
78,A,54,70,Cargo,Bulk Carrier,ZHONG AN YANG,150,0,27.5,6.5,3,No rain,225,32
79,A,51,59,Special Craft,Offshore Supply Ship,CBO CAROLINA,150,0,25.4,13.1,6,No rain,77,17
80,A,55,70,Cargo,Container Ship,MAERSK LABREA,150,0,26.8,3.9,2,No rain,300,45
81,A,56,70,Cargo,Container Ship,VALUE,97,0,26.5,3,2,No rain,300,48
82,A,57,70,Cargo,Bulk Carrier,FRATERNELLE,61,1,25.7,6.6,3,Light,229,32
83,A,58,70,Cargo,Bulk Carrier,STAR AQUA,123,0,26,2.4,1,No rain,289,45
84,A,4,70,Cargo,Ore Carrier,SINOGLORY,61,0,31.1,2.3,1,No rain,322,58
85,A,59,70,Cargo,Container Ship,MAERSK LABERINTO,150,0,28.8,5.2,3,No rain,300,45
86,A,60,33,Special Craft,Suction Dredger,PEARL RIVER,150,0,26.5,2.1,1,No rain,182,28
87,A,60,33,Special Craft,Suction Dredger,PEARL RIVER,62,0,34.3,5.8,3,No rain,182,28
88,A,60,33,Special Craft,Suction Dredger,PEARL RIVER,140,0,25.2,2.6,2,No rain,182,28
89,A,60,33,Special Craft,Suction Dredger,PEARL RIVER,150,0,24.8,2.6,2,No rain,182,28
90,A,60,33,Special Craft,Suction Dredger,PEARL RIVER,150,0,30.7,7.1,4,No rain,182,28
91,A,60,33,Special Craft,Suction Dredger,PEARL RIVER,150,0,22.8,2.3,1,No rain,182,28
92,A,60,33,Special Craft,Suction Dredger,PEARL RIVER,150,0,27.4,4.4,2,No rain,182,28
93,A,60,33,Special Craft,Suction Dredger,PEARL RIVER,123,0.6,25.1,3.2,2,Light,182,28
94,A,60,33,Special Craft,Suction Dredger,PEARL RIVER,61,0,24.2,2.2,1,No rain,182,28
95,A,60,33,Special Craft,Suction Dredger,PEARL RIVER,150,0,30.5,4.8,3,No rain,182,28
96,A,60,33,Special Craft,Suction Dredger,PEARL RIVER,85,0,25.5,3.1,2,No rain,182,28
97,A,61,59,Special Craft,Multi Purpose Offshore Vessel,QMS NEPTUNE,61,0,31,6.6,3,No rain,65,17
98,A,51,59,Special Craft,Offshore Supply Ship,CBO CAROLINA,124,0,25.5,4.5,3,No rain,77,17
99,A,62,59,Special Craft,Anchor Handling Vessel,SKANDI PEREGRINO,150,0,31,3.7,2,No rain,75,17
100,A,63,50,Special Craft,Pilot Vessel,PILOT 11,90,0,27.2,5.1,3,No rain,13,4
101,A,64,70,Cargo,Container Ship,SAN FERNANDO,150,0,23.9,2.3,1,No rain,300,48
102,A,60,33,Special Craft,Suction Dredger,PEARL RIVER,150,0,32.8,5,3,No rain,182,28
103,A,65,70,Cargo,Bulk Carrier,GREAT ZHOU,80,0,24.6,3.5,2,No rain,295,46
104,A,60,33,Special Craft,Suction Dredger,PEARL RIVER,150,0,24.8,5.5,3,No rain,182,28
105,A,66,59,Special Craft,Offshore Supply Ship,MAERSK VENTURA,150,0,26.7,5.1,3,No rain,81,19
106,A,67,80,Tanker,Oil Products Tanker,ATAHUALPA,150,0,25.5,6.8,3,No rain,180,32
107,A,68,31,Tug,Tug,ENCO,100,0,29.5,6.1,3,No rain,33,11
108,A,69,70,Cargo,Ore Carrier,NSU INSPIRE,150,0,24.9,3.4,2,No rain,330,57
109,A,70,70,Cargo,Bulk Carrier,CAPRICORN ONE,140,0,27.1,3.5,2,No rain,292,45
110,A,68,31,Tug,Tug,ENCO,91,0,20.3,1.8,1,No rain,33,11
111,A,71,80,Tanker,Oil/Chemical Tanker,STOLT KASHI,150,0,20.6,4.2,2,No rain,159,26
112,A,72,80,Tanker,Oil/Chemical Tanker,CASTILLO DE HERRERA,70,0,23.1,3.1,2,No rain,135,21
113,A,72,80,Tanker,Oil/Chemical Tanker,CASTILLO DE HERRERA,70,0,23.1,3.1,2,No rain,135,21
114,A,73,59,Special Craft,Offshore Supply Ship,C OURO,150,0,21.4,10.5,5,No rain,72,17
115,A,2,50,Special Craft,Pilot Vessel,PILOT 10,150,0,22.2,1.4,1,No rain,11,4
116,A,74,70,Cargo,Container Ship,TABEA,150,0,30.4,8.7,4,No rain,276,40
117,A,75,80,Tanker,Oil/Chemical Tanker,LOUIS P,150,0,22.2,8.6,4,No rain,204,32
118,A,53,59,Special Craft,Supply Vessel,NORMAND CARIOCA,150,0.2,18.6,12.7,6,Light,88,19
119,A,66,59,Special Craft,Offshore Supply Ship,MAERSK VENTURA,130,0,18.8,10.3,5,No rain,81,19
120,A,76,59,Special Craft,Offshore Supply Ship,HOS RUNNING BUCK,150,0,22,2.6,2,No rain,84,18
121,A,77,70,Cargo,Container Ship,MSC ORIANE,100,0,25.6,6.6,3,No rain,278,40
122,A,78,70,Cargo,Container Ship,MSC FIAMMETTA,140,0,25.2,3.9,2,No rain,277,40
123,A,66,59,Special Craft,Offshore Supply Ship,MAERSK VENTURA,120,0,22.3,7.1,4,No rain,81,19
124,A,79,70,Cargo,Bulk Carrier,GLORY AMSTERDAM,120,0,23,3.1,2,No rain,225,32
125,A,80,70,Cargo,Container Ship,CAPE ARTEMISIO,150,0,18.4,2.1,1,No rain,330,48
126,A,81,80,Tanker,Oil/Chemical Tanker,STOLT FLAMENCO,150,0,20.8,0,1,No rain,124,20
127,A,82,70,Cargo,Bulk Carrier,WINNING BROTHER,150,0,22.7,3.3,2,No rain,290,47
128,A,68,31,Tug,Tug,ENCO,150,0,19.8,3.8,2,No rain,33,11
129,A,83,59,Special Craft,Offshore Supply Ship,SIEM ATLAS,90,0,23.1,5.7,3,No rain,88,19
130,A,66,59,Special Craft,Offshore Supply Ship,MAERSK VENTURA,150,0.4,22.6,2.4,1,Light,81,19
131,A,84,59,Special Craft,Anchor Handling Vessel,NORMAND TURMALINA,150,0,26.8,2.2,1,No rain,81,18
132,A,85,70,Cargo,Bulk Carrier,YUANPING SEA,150,0,27.4,5.4,3,No rain,190,32
133,A,86,31,Tug,Tug,TS EXIBIDO,150,0,21.4,3,2,No rain,30,10
134,A,87,70,Cargo,Container Ship,MONTE OLIVIA,100,0,22.8,2.8,2,No rain,272,40
135,A,88,70,Cargo,General Cargo,VALMIERA,110,5.2,23.2,5.1,3,Heavy,107,19
136,A,84,59,Special Craft,Anchor Handling Vessel,NORMAND TURMALINA,150,0,23.3,4.3,2,No rain,81,18
137,A,68,31,Tug,Tug,ENCO,61,0,23.2,5.3,3,No rain,33,11
138,A,89,70,Cargo,General Cargo,DEO VOLENTE,90,0,23.2,9.8,4,No rain,105,16
139,A,90,70,Cargo,Bulk Carrier,MYRA,70,0,23.7,7.4,4,No rain,230,32
140,A,53,59,Special Craft,Supply Vessel,NORMAND CARIOCA,150,0,20.2,5.8,3,No rain,88,19
141,A,91,70,Cargo,Bulk Carrier,DARYA GAYATRI,130,0,22.5,4.3,2,No rain,229,32
142,A,63,50,Special Craft,Pilot Vessel,PILOT 11,150,0,21.5,4.3,2,No rain,13,4
143,A,92,70,Cargo,Bulk Carrier,MG KRONOS,140,0,25.1,12.1,5,No rain,229,35
144,A,93,70,Cargo,Container Ship,MONTE CERVANTES,150,0,25.7,4.5,3,No rain,272,40
145,A,94,80,Tanker,Oil Products Tanker,MASA / MAISA,140,0,21.7,8.7,4,No rain,161,23
146,A,2,50,Special Craft,Pilot Vessel,PILOT 10,150,0,20.6,9.6,4,No rain,11,4
147,A,95,80,Tanker,Crude Oil Tanker,SKS DOURO,127,0,24.8,5.2,3,No rain,250,45
148,A,96,59,Special Craft,Offshore Supply Ship,STARNAV AQUARIUS,150,0,24.5,5.9,3,No rain,90,19
149,A,97,59,Special Craft,Offshore Supply Ship,CAMPOS CAPTAIN,150,0,25.1,2.3,1,No rain,85,18
150,A,98,70,Cargo,Bulk Carrier,IVESTOS 7,130,0,24.6,8.7,4,No rain,225,32
151,A,99,37,Pleasure Craft,Pleasure Craft,YANKEE BRAVO,150,0,29.3,7.9,4,No rain,8,2
152,A,100,70,Cargo,Container Ship,KOTA CEMPAKA,150,0,21.4,5.6,3,No rain,300,40
153,A,101,80,Tanker,Oil/Chemical Tanker,ZEUGMAN,150,0,25.3,5.1,3,No rain,109,16
154,A,63,50,Special Craft,Pilot Vessel,PILOT 11,150,0,23.6,2.5,1,No rain,13,4
155,A,63,50,Special Craft,Pilot Vessel,PILOT 11,100,0,23.6,6.5,3,No rain,13,4
156,A,102,80,Tanker,Oil Products Tanker,GRAZIA COSULICH,110,0,23.4,3.2,2,No rain,86,16
157,A,5,50,Special Craft,Pilot Vessel,PILOT 09,110,0,26.2,3.3,2,No rain,12,4
158,A,103,70,Cargo,Bulk Carrier,CMB VAN DIJCK,150,0,29.4,5.3,3,No rain,200,32
159,A,95,80,Tanker,Crude Oil Tanker,SKS DOURO,150,0,26.5,3.4,2,No rain,250,45
160,A,5,50,Special Craft,Pilot Vessel,PILOT 09,150,0,24.2,11.3,5,No rain,12,4
161,A,104,80,Tanker,Oil/Chemical Tanker,SUPERBA,150,0,25.5,1.9,1,No rain,292,45
162,A,105,70,Cargo,Bulk Carrier,SM LION,150,0,27.9,2.3,1,No rain,300,50
163,A,106,70,Cargo,Bulk Carrier,GORTYNIA,140,0,36,6.2,3,No rain,292,45
164,A,107,70,Cargo,Bulk Carrier,STAR LEO,150,0,29.8,3.6,2,No rain,300,50
165,A,108,59,Special Craft,Offshore Supply Ship,DON IGNACIO,150,0,27.8,4.2,2,No rain,62,14
166,A,109,70,Cargo,Bulk Carrier,SOLAR HOPE,147,0,32.3,6.6,3,No rain,292,46
167,A,110,70,Cargo,Bulk Carrier,OCEAN LEO,150,0,26.5,2.5,1,No rain,289,45
168,A,111,70,Cargo,Bulk Carrier,LONDON SPIRIT,61,2.2,22.7,3.6,2,Moderate,300,50
169,A,112,70,Cargo,Bulk Carrier,KSL SAKURA,150,0,28.6,4,2,No rain,292,45
170,A,113,70,Cargo,Bulk Carrier,ARIS T,150,0,25.1,2.2,1,No rain,230,37
171,A,114,70,Cargo,Ore Carrier,SINOCARRIER,150,0,28.1,8.5,4,No rain,324,56
172,A,115,70,Cargo,Bulk Carrier,GOLDEN INCUS,150,0,24.7,2.3,1,No rain,292,45
173,A,116,70,Cargo,Bulk Carrier,V STAR,150,0,25.6,2.2,1,No rain,190,32
174,A,117,70,Cargo,Bulk Carrier,ORE BAYOVAR,121,0,24.2,3.2,2,No rain,290,47
175,A,118,70,Cargo,Bulk Carrier,SANTA IRINI / CLIPPER VICTORY,150,0,23.9,2.7,2,No rain,225,32
176,A,119,70,Cargo,Bulk Carrier,MARAN HOPE,150,0,26.2,1.2,1,No rain,292,45
177,A,120,70,Cargo,Ore Carrier,BERGE ELBRUS / STELLA ISABEL,150,0,29.7,3.8,2,No rain,325,57
178,A,121,70,Cargo,Container Ship,MAERSK LEBU,150,0,23.1,2.8,2,No rain,300,46
179,A,122,70,Cargo,Bulk Carrier,LAMBERT MARU,150,0,23.8,1.6,1,No rain,292,45
180,A,123,70,Cargo,Container Ship,MAERSK LETICIA,136,0,19.9,1.6,1,No rain,300,46
181,A,123,70,Cargo,Container Ship,MAERSK LETICIA,95,0,22.1,2.3,1,No rain,300,46
182,A,124,31,Tug,Tug,VITORIA LX,150,0.2,24.2,2.6,2,Light,24,9
183,A,125,70,Cargo,Bulk Carrier,GRAMPUS CHARM,150,0,21.6,2.1,1,No rain,229,32
184,A,126,70,Cargo,Ore Carrier,PACIFIC CORAL,150,0,25.5,2.8,2,No rain,324,56
185,A,127,70,Cargo,Bulk Carrier,BERGE BINTUMANI  / CAPE FUSHEN,150,0,27,2.8,2,No rain,292,45
186,A,128,80,Tanker,Crude Oil Tanker,OLAVO BILAC,150,0,20.3,1.8,1,No rain,250,44
187,A,129,80,Tanker,Shuttle Tanker,SALLIE KNUTSEN,150,0,31.2,0.4,1,No rain,274,50
188,A,130,70,Cargo,General Cargo,STINNES ZEPHIR,150,0,24.6,3.6,2,No rain,145,23
189,A,131,59,Special Craft,Offshore Supply Ship,MAERSK VEGA,120,0,24.9,6.3,3,No rain,89,19
190,A,132,59,Special Craft,Offshore Supply Ship,SAAVEDRA TIDE,150,0,23.5,4.3,2,No rain,84,18
191,A,133,59,Special Craft,Multi Purpose Offshore Vessel,HAIYANGSHIYOU 771,150,0,22.3,6.1,3,No rain,65,16
192,A,134,31,Tug,Tug,TOPA TUDO ANGRA,120,0,22.2,4.7,3,No rain,18,8
193,A,135,59,Special Craft,Offshore Supply Ship,MONTY ORR TIDE,150,0,24.2,2.6,2,No rain,84,18
194,A,136,31,Tug,Tug,ARCIMBALDO,150,0,21.4,6.2,3,No rain,30,11
195,A,73,59,Special Craft,Offshore Supply Ship,C OURO,100,0,21.8,9.4,4,No rain,72,17
196,A,63,50,Special Craft,Pilot Vessel,PILOT 11,150,0,21.2,5.8,3,No rain,13,4
197,A,16,50,Special Craft,Pilot Vessel,PILOT 08,150,0,19.3,4.4,2,No rain,12,4
198,A,137,70,Cargo,Bulk Carrier,MILOS WARRIOR,150,0,21.5,4.1,2,No rain,292,45
199,A,138,30,Fishing,Fishing Vessel,NESTRE OANNES,150,0,24,4.6,3,No rain,22,8
200,A,139,70,Cargo,Bulk Carrier,SEALINK,150,0,16.7,1.9,1,No rain,292,45
201,A,140,70,Cargo,Bulk Carrier,CAPE SUN,150,0,20.4,5.2,3,No rain,292,45
202,A,141,70,Cargo,Bulk Carrier,CANCUN,150,0,19.8,4.2,2,No rain,300,50
203,A,142,70,Cargo,Ore Carrier,GELASHA,150,0,13,1.7,1,No rain,328,57
204,A,143,70,Cargo,Container Ship,SAN FRANCISCA,150,0,15.2,2.1,1,No rain,300,48
205,A,144,70,Cargo,Container Ship,CMA CGM LITANI,150,0,19.8,3.2,2,No rain,300,48
206,A,145,70,Cargo,General Cargo,SAGA TIDE,150,0,20.8,9.4,4,No rain,200,30
207,A,64,70,Cargo,Container Ship,SAN FERNANDO,149,0,24.2,13.4,6,No rain,300,48
208,A,146,70,Cargo,Bulk Carrier,HORIZON II,150,0,18,1.9,1,No rain,255,43
209,A,147,70,Cargo,Bulk Carrier,COLUMBIA,150,0,21.6,2,1,No rain,190,32
210,A,148,70,Cargo,Bulk Carrier,GOLDEN SCAPE,150,0,19.4,2.4,1,No rain,300,49
211,A,149,70,Cargo,Bulk Carrier,SUNNY STAR,120,0,18.6,2.1,1,No rain,292,45
212,A,150,70,Cargo,Bulk Carrier,CHINA STEEL EXPLORATION,150,0,26.4,5.1,3,No rain,300,50
213,A,151,70,Cargo,Bulk Carrier,HERO,80,0,22.5,2.8,2,No rain,292,45
214,A,152,70,Cargo,Bulk Carrier,TW BEIJING,150,0,24.2,4.2,2,No rain,229,38
215,A,153,59,Special Craft,Offshore Supply Ship,JONES TIDE,90,0,19.8,2.1,1,No rain,84,20
216,A,154,70,Cargo,Container Ship,MAERSK LA PAZ,150,0,14.8,2.8,2,No rain,300,46
217,A,59,70,Cargo,Container Ship,MAERSK LABERINTO,150,0,22,3.9,2,No rain,300,45
218,A,155,70,Cargo,Bulk Carrier,NAVIOS BUENA VENTURA,150,0,25.1,3.9,2,No rain,292,45
219,A,156,70,Cargo,Bulk Carrier,MARAN FUTURE,79,0,22.4,1.7,1,No rain,292,45
220,A,157,70,Cargo,Bulk Carrier,RIO DULCE / ORSOLA BOTTIGLIERI,150,0,20.6,2.5,1,No rain,292,45
221,A,158,80,Tanker,Oil/Chemical Tanker,SILVER MANOORA,150,0, - ,0,1,No rain,183,32
222,A,129,80,Tanker,Shuttle Tanker,SALLIE KNUTSEN,150,0,32.4,0,1,No rain,274,50
223,A,159,70,Cargo,Bulk Carrier,ADAMOON,150,0,32.4,0,1,No rain,150,24
224,A,160,70,Cargo,Bulk Carrier,VANGELIS,150,0,16.8,1.3,1,No rain,295,46
225,A,125,70,Cargo,Bulk Carrier,GRAMPUS CHARM,150,0,17.6,1.7,1,No rain,229,32
226,A,161,70,Cargo,General Cargo,ZHONG YUAN HAI YUN KAI TUO,150,0,17.5,2.2,1,No rain,202,33
227,A,162,70,Cargo,Bulk Carrier,CAPE BOSS,61,0,20.9,4.8,3,No rain,289,45
228,A,18,50,Special Craft,Pilot Vessel,PILOT 14,70,1.2,21.4,7.8,4,Moderate,12,4
229,A,163,31,Tug,Tug,WS TITAN,150,0,21.6,2.1,1,No rain,32,12
230,A,63,50,Special Craft,Pilot Vessel,PILOT 11,130,0,26.9,4.7,3,No rain,13,4
231,A,84,59,Special Craft,Anchor Handling Vessel,NORMAND TURMALINA,120,0,24.6,1.9,1,No rain,81,18
232,A,84,59,Special Craft,Anchor Handling Vessel,NORMAND TURMALINA,140,0,25.2,6.4,3,No rain,81,18
233,A,164,70,Cargo,Container Ship,LOG IN PANTANAL,150,0,23.5,14.1,6,No rain,182,25
234,A,165,80,Tanker,Crude Oil Tanker,SONANGOL MAIOMBE,150,0,23.5,3.3,2,No rain,274,48
235,A,166,70,Cargo,Container Ship,CMA CGM NILE,120,0,21.1,8.2,4,No rain,300,48
236,A,16,50,Special Craft,Pilot Vessel,PILOT 08,150,0,20.1,4.3,2,No rain,12,4
237,A,167,31,Tug,Tug,CRATER,150,0,26.8,4.7,3,No rain,25,11
238,A,18,50,Special Craft,Pilot Vessel,PILOT 14,150,0,20,8,4,No rain,12,4
239,A,168,70,Cargo,Bulk Carrier,TAI SHINE,150,0,19.1,3.6,2,No rain,200,32
240,A,18,50,Special Craft,Pilot Vessel,PILOT 14,70,1.2,21.4,7.8,4,Moderate,12,4
241,A,169,70,Cargo,Ro-Ro/Container Carrier,GRANDE AMBURGO,134,0.4,20.4,11.7,5,Light,214,32
242,A,163,31,Tug,Tug,WS TITAN,150,0,21.6,2.1,1,No rain,32,12
243,A,63,50,Special Craft,Pilot Vessel,PILOT 11,130,0,26.9,4.7,3,No rain,13,4
244,A,84,59,Special Craft,Anchor Handling Vessel,NORMAND TURMALINA,120,0,24.6,1.9,1,No rain,81,18
245,A,84,59,Special Craft,Anchor Handling Vessel,NORMAND TURMALINA,140,0,25.2,6.4,3,No rain,81,18
246,A,164,70,Cargo,Container Ship,LOG IN PANTANAL,150,0,23.5,14.1,6,No rain,182,25
247,A,165,80,Tanker,Crude Oil Tanker,SONANGOL MAIOMBE,150,0,23.5,3.3,2,No rain,274,48
248,A,166,70,Cargo,Container Ship,CMA CGM NILE,120,0,21.1,8.2,4,No rain,300,48
249,A,16,50,Special Craft,Pilot Vessel,PILOT 08,150,0,20.1,4.3,2,No rain,12,4
250,A,167,31,Tug,Tug,CRATER,150,0,26.8,4.7,3,No rain,25,11
251,A,18,50,Special Craft,Pilot Vessel,PILOT 14,150,0,20,8,4,No rain,12,4
252,A,16,50,Special Craft,Pilot Vessel,PILOT 08,150,0,21.4,3.6,2,No rain,12,4
253,A,168,70,Cargo,Bulk Carrier,TAI SHINE,150,0,19.1,3.6,2,No rain,200,32
254,A,170,70,Cargo,Container Ship,VALIANT,100,0,23.4,8.3,4,No rain,300,48
255,A,171,31,Tug,Tug,TB LUPUS,80,0,22.4,3.1,2,No rain,34,10
256,A,172,80,Tanker,Crude Oil Tanker,PACIFIC ONYX,150,0,21.8,3.1,2,No rain,183,32
257,A,173,70,Cargo,Container Ship,COSCO SHIPPING VOLGA,70,0,28.2,4.4,2,No rain,300,48
258,A,174,31,Tug,Tug/Supply Vessel,NORMAND PIONEER,150,0,25.2,2,1,No rain,95,24
259,A,175,59,Special Craft,Offshore Supply Ship,MARTIN VAZ,150,0,26.9,3.1,2,No rain,64,45
